"Plazo","Tasa.Nominal"
1026,7.27338
1027,7.273495
1028,7.273612
1029,7.273727
1030,7.273842
1031,7.273958
1032,7.274073
1033,7.274187
1034,7.274303
1035,7.274418
1036,7.274533
1037,7.274647
1038,7.274761
1039,7.274876
1040,7.27499
1041,7.275105
1042,7.275218
1043,7.275332
1044,7.275446
1045,7.275559
1046,7.275672
1047,7.275786
1048,7.275899
1049,7.276012
1050,7.276124
1051,7.276237
1052,7.276349
1053,7.276461
1054,7.276573
1055,7.276685
1056,7.276797
1057,7.276907
1058,7.277019
1059,7.277129
1060,7.27724
1061,7.277351
1062,7.277461
1063,7.277571
1064,7.27768
1065,7.27779
1066,7.277899
1067,7.278008
1068,7.278116
1069,7.278225
1070,7.278333
1071,7.278441
1072,7.278549
1073,7.278655
1074,7.278763
1075,7.27887
1076,7.278976
1077,7.279082
1078,7.279188
1079,7.279294
1080,7.279399
1081,7.279504
1082,7.279608
1083,7.279712
1084,7.279816
1085,7.27992
1086,7.280023
1087,7.280126
1088,7.280228
1089,7.28033
1090,7.280432
1091,7.280534
1092,7.280635
1093,7.280736
1094,7.280836
1095,7.280936
1096,7.281036
1097,7.281135
1098,7.281234
1099,7.281332
1100,7.28143
1101,7.281528
1102,7.281626
1103,7.281723
1104,7.281821
1105,7.281917
1106,7.282015
1107,7.282111
1108,7.282207
1109,7.282303
1110,7.282399
1111,7.282495
1112,7.282591
1113,7.282686
1114,7.282781
1115,7.282876
1116,7.282971
1117,7.283065
1118,7.28316
1119,7.283254
1120,7.283348
1121,7.283442
1122,7.283536
1123,7.283629
1124,7.283723
1125,7.283816
1126,7.283909
1127,7.284002
1128,7.284095
1129,7.284187
1130,7.284279
1131,7.284371
1132,7.284464
1133,7.284555
1134,7.284647
1135,7.284738
1136,7.28483
1137,7.28492
1138,7.285012
1139,7.285102
1140,7.285194
1141,7.285284
1142,7.285374
1143,7.285465
1144,7.285555
1145,7.285645
1146,7.285734
1147,7.285825
1148,7.285914
1149,7.286003
1150,7.286092
1151,7.286181
1152,7.28627
1153,7.286359
1154,7.286449
1155,7.286537
1156,7.286625
1157,7.286714
1158,7.286802
1159,7.28689
1160,7.286978
1161,7.287065
1162,7.287153
1163,7.287241
1164,7.287328
1165,7.287415
1166,7.287502
1167,7.287589
1168,7.287676
1169,7.287763
1170,7.28785
1171,7.287937
1172,7.288023
1173,7.28811
1174,7.288196
1175,7.288282
1176,7.288368
1177,7.288454
1178,7.28854
1179,7.288625
1180,7.288711
1181,7.288797
1182,7.288882
1183,7.288968
1184,7.289053
1185,7.289138
1186,7.289223
1187,7.289308
1188,7.289393
1189,7.289478
1190,7.289563
1191,7.289647
1192,7.289731
1193,7.289816
1194,7.289901
1195,7.289985
1196,7.290069
1197,7.290153
1198,7.290237
1199,7.290321
1200,7.290405
1201,7.290489
1202,7.290572
1203,7.290656
1204,7.29074
1205,7.290823
1206,7.290906
1207,7.29099
1208,7.291074
1209,7.291156
1210,7.29124
1211,7.291323
1212,7.291406
1213,7.291489
1214,7.291572
1215,7.291655
1216,7.291738
1217,7.291821
1218,7.291904
1219,7.291986
1220,7.292069
1221,7.292152
1222,7.292234
1223,7.292317
1224,7.292399
1225,7.292481
1226,7.292564
1227,7.292647
1228,7.292729
1229,7.292811
1230,7.292893
1231,7.292975
1232,7.293058
1233,7.29314
1234,7.293222
1235,7.293304
1236,7.293386
1237,7.293469
1238,7.29355
1239,7.293632
1240,7.293714
1241,7.293796
1242,7.293878
1243,7.29396
1244,7.294041
1245,7.294124
1246,7.294205
1247,7.294287
1248,7.294369
1249,7.294451
1250,7.294532
1251,7.294614
1252,7.294696
1253,7.294778
1254,7.294859
1255,7.294941
1256,7.295023
1257,7.295105
1258,7.295187
1259,7.295268
1260,7.29535
1261,7.295432
1262,7.295514
1263,7.295595
1264,7.295677
1265,7.295759
1266,7.295841
1267,7.295922
1268,7.296004
1269,7.296086
1270,7.296168
1271,7.29625
1272,7.296331
1273,7.296413
1274,7.296495
1275,7.296577
1276,7.296659
1277,7.296741
1278,7.296823
1279,7.296904
1280,7.296987
1281,7.297069
1282,7.297151
1283,7.297233
1284,7.297315
1285,7.297397
1286,7.297479
1287,7.297561
1288,7.297642
1289,7.297724
1290,7.297805
1291,7.297887
1292,7.297969
1293,7.29805
1294,7.298132
1295,7.298213
1296,7.298295
1297,7.298376
1298,7.298457
1299,7.298539
1300,7.29862
1301,7.298701
1302,7.298782
1303,7.298863
1304,7.298944
1305,7.299024
1306,7.299106
1307,7.299187
1308,7.299267
1309,7.299348
1310,7.299428
1311,7.299509
1312,7.299589
1313,7.29967
1314,7.29975
1315,7.29983
1316,7.299911
1317,7.29999
1318,7.30007
1319,7.30015
1320,7.30023
1321,7.30031
1322,7.30039
1323,7.300469
1324,7.300549
1325,7.300629
1326,7.300708
1327,7.300788
1328,7.300867
1329,7.300946
1330,7.301025
1331,7.301104
1332,7.301183
1333,7.301262
1334,7.301341
1335,7.30142
1336,7.301499
1337,7.301577
1338,7.301656
1339,7.301734
1340,7.301813
1341,7.301891
1342,7.301969
1343,7.302047
1344,7.302125
1345,7.302203
1346,7.302281
1347,7.302359
1348,7.302436
1349,7.302513
1350,7.302591
1351,7.302668
1352,7.302746
1353,7.302824
1354,7.3029
1355,7.302977
1356,7.303055
1357,7.303132
1358,7.303208
1359,7.303285
1360,7.303361
1361,7.303438
1362,7.303514
1363,7.303591
1364,7.303667
1365,7.303743
1366,7.303819
1367,7.303895
1368,7.303971
1369,7.304047
1370,7.304123
1371,7.304198
1372,7.304273
1373,7.304348
1374,7.304424
1375,7.304499
1376,7.304574
1377,7.304649
1378,7.304724
1379,7.304798
1380,7.304873
1381,7.304948
1382,7.305022
1383,7.305096
1384,7.305171
1385,7.305245
1386,7.305318
1387,7.305393
1388,7.305467
1389,7.30554
1390,7.305614
1391,7.305687
1392,7.305761
1393,7.305833
1394,7.305907
1395,7.305979
1396,7.306052
1397,7.306125
1398,7.306198
1399,7.30627
1400,7.306342
1401,7.306415
1402,7.306487
1403,7.306559
1404,7.306631
1405,7.306703
1406,7.306775
1407,7.306847
1408,7.306917
