Fecha,Mercado,Instrumento,Precio
11/09/2017,MD,*C-ILSUSD-V48,3.5233
11/09/2017,MD,*C-INRUSD-V48,63.935
11/09/2017,MD,*C-IQDUSD-V48,1167
11/09/2017,MD,*C-ISKUSD-V48,106.51
11/09/2017,MD,*C-ITLEUR-V48,1936.271617
11/09/2017,MD,*C-ITLUSD-V48,1618.88717
11/09/2017,MD,*C-JMDUSD-V48,128.25
11/09/2017,MD,*C-JPYAUD-V48,87.802235
11/09/2017,MD,*C-JPYBRL-V48,35.306277
11/09/2017,MD,*C-JPYCAD-V48,90.313756
11/09/2017,MD,*C-JPYCHF-V48,114.559554
11/09/2017,MD,*C-JPYEUR-V48,130.812098
11/09/2017,MD,*C-JPYGBP-V48,144.078571
11/09/2017,MD,*C-JPYMXP-V48,6.198783
11/09/2017,MD,*C-JPYUSD-V48,109.37
11/09/2017,MD,*C-KESUSD-V48,102.75
11/09/2017,MD,*C-KRWUSD-V48,1130.86
11/09/2017,MD,*C-KWDUSD-V48,0.30135
11/09/2017,MD,*C-KYDUSD-V48,0.825
11/09/2017,MD,*C-LTLUSD-V48,2.8539
11/09/2017,MD,*C-LUFUSD-V48,33.727603
11/09/2017,MD,*C-LVLUSD-V48,0.50825
11/09/2017,MD,*C-MADUSD-V48,9.3375
11/09/2017,MD,*C-MXPAED-AED,4.803785
11/09/2017,MD,*C-MXPAED-V48,4.803785
11/09/2017,MD,*C-MXPARS-ARS,1.030321
11/09/2017,MD,*C-MXPARS-V48,1.030321
11/09/2017,MD,*C-MXPATS-ATS,1.533652
11/09/2017,MD,*C-MXPATS-V48,1.533652
11/09/2017,MD,*C-MXPAUD-AUD,14.164844
11/09/2017,MD,*C-MXPAUD-V48,14.164844
11/09/2017,MD,*C-MXPAWG-V48,9.829772
11/09/2017,MD,*C-MXPBBD-V48,8.812931
11/09/2017,MD,*C-MXPBDT-V48,0.214978
11/09/2017,MD,*C-MXPBEF-BEF,0.523145
11/09/2017,MD,*C-MXPBEF-V48,0.523145
11/09/2017,MD,*C-MXPBGN-V48,10.790628
11/09/2017,MD,*C-MXPBMD-V48,17.6443
11/09/2017,MD,*C-MXPBOB-V48,2.533572
11/09/2017,MD,*C-MXPBRL-BRL,5.695845
11/09/2017,MD,*C-MXPBRL-V48,5.695845
11/09/2017,MD,*C-MXPBSD-V48,17.6443
11/09/2017,MD,*C-MXPBZD-V48,8.754096
11/09/2017,MD,*C-MXPCAD-CAD,14.570019
11/09/2017,MD,*C-MXPCAD-V48,14.570019
11/09/2017,MD,*C-MXPCHF-CHF,18.481513
11/09/2017,MD,*C-MXPCHF-V48,18.481513
11/09/2017,MD,*C-MXPCLF-V48,759.646102
11/09/2017,MD,*C-MXPCLP-CLP,0.028328
11/09/2017,MD,*C-MXPCLP-V48,0.028328
11/09/2017,MD,*C-MXPCNH-V48,2.698608
11/09/2017,MD,*C-MXPCNY-CNY,2.702163
11/09/2017,MD,*C-MXPCNY-V48,2.702163
11/09/2017,MD,*C-MXPCOP-V48,0.006034
11/09/2017,MD,*C-MXPCRC-CRC,0.030463
11/09/2017,MD,*C-MXPCRC-V48,0.030463
11/09/2017,MD,*C-MXPCZK-CZK,0.808833
11/09/2017,MD,*C-MXPCZK-V48,0.808833
11/09/2017,MD,*C-MXPDEG-V48,25.17884
11/09/2017,MD,*C-MXPDEM-DEM,10.790195
11/09/2017,MD,*C-MXPDEM-V48,10.790195
11/09/2017,MD,*C-MXPDKK-DKK,2.836683
11/09/2017,MD,*C-MXPDKK-V48,2.836683
11/09/2017,MD,*C-MXPDOP-V48,0.370327
11/09/2017,MD,*C-MXPDZD-V48,0.159169
11/09/2017,MD,*C-MXPEGP-V48,1.000097
11/09/2017,MD,*C-MXPESP-ESP,0.126836
11/09/2017,MD,*C-MXPESP-V48,0.126836
11/09/2017,MD,*C-MXPEUR-EUR,21.103483
11/09/2017,MD,*C-MXPEUR-V48,21.103483
11/09/2017,MD,*C-MXPFIM-FIM,3.549363
11/09/2017,MD,*C-MXPFIM-V48,3.549363
11/09/2017,MD,*C-MXPFJD-V48,35.310153
11/09/2017,MD,*C-MXPFRF-FRF,3.217183
11/09/2017,MD,*C-MXPFRF-V48,3.217183
11/09/2017,MD,*C-MXPGBP-GBP,23.243719
11/09/2017,MD,*C-MXPGBP-V48,23.243719
11/09/2017,MD,*C-MXPGRD-V48,0.061931
11/09/2017,MD,*C-MXPGTQ-GTQ,2.41951
11/09/2017,MD,*C-MXPGTQ-V48,2.41951
11/09/2017,MD,*C-MXPGYD-V48,0.085619
11/09/2017,MD,*C-MXPHKD-HKD,2.257994
11/09/2017,MD,*C-MXPHKD-V48,2.257994
11/09/2017,MD,*C-MXPHNL-HNL,0.754523
11/09/2017,MD,*C-MXPHNL-V48,0.754523
11/09/2017,MD,*C-MXPHTG-V48,0.278392
11/09/2017,MD,*C-MXPHUF-HUF,0.068866
11/09/2017,MD,*C-MXPHUF-V48,0.068866
11/09/2017,MD,*C-MXPIDR-IDR,0.001341
11/09/2017,MD,*C-MXPIDR-V48,0.001341
11/09/2017,MD,*C-MXPILS-V48,5.007885
11/09/2017,MD,*C-MXPINR-INR,0.275975
11/09/2017,MD,*C-MXPINR-V48,0.275975
11/09/2017,MD,*C-MXPIQD-V48,0.015122
11/09/2017,MD,*C-MXPISK-ISK,0.165654
11/09/2017,MD,*C-MXPISK-V48,0.165654
11/09/2017,MD,*C-MXPITL-ITL,0.010904
11/09/2017,MD,*C-MXPITL-V48,0.010904
11/09/2017,MD,*C-MXPJMD-V48,0.137581
11/09/2017,MD,*C-MXPJPY-JPY,0.161322
11/09/2017,MD,*C-MXPJPY-V48,0.161322
11/09/2017,MD,*C-MXPKES-V48,0.171724
11/09/2017,MD,*C-MXPKRW-V48,0.015607
11/09/2017,MD,*C-MXPKWD-V48,58.550872
11/09/2017,MD,*C-MXPKYD-KYD,21.387812
11/09/2017,MD,*C-MXPKYD-V48,21.387812
11/09/2017,MD,*C-MXPLTL-V48,6.182528
11/09/2017,MD,*C-MXPLUF-V48,0.523145
11/09/2017,MD,*C-MXPLVL-V48,34.715813
11/09/2017,MD,*C-MXPMAD-V48,1.889617
11/09/2017,MD,*C-MXPMYR-MYR,4.203526
11/09/2017,MD,*C-MXPMYR-V48,4.203526
11/09/2017,MD,*C-MXPNGN-V48,0.057706
11/09/2017,MD,*C-MXPNIC-V48,0.588737
11/09/2017,MD,*C-MXPNIO-V48,0.581547
11/09/2017,MD,*C-MXPNLG-NLG,9.576374
11/09/2017,MD,*C-MXPNLG-V48,9.576374
11/09/2017,MD,*C-MXPNOK-NOK,2.248193
11/09/2017,MD,*C-MXPNOK-V48,2.248193
11/09/2017,MD,*C-MXPNZD-NZD,12.786825
11/09/2017,MD,*C-MXPNZD-V48,12.786825
11/09/2017,MD,*C-MXPPEN-V48,5.462296
11/09/2017,MD,*C-MXPPHP-PHP,0.34634
11/09/2017,MD,*C-MXPPHP-V48,0.34634
11/09/2017,MD,*C-MXPPKR-V48,0.167409
11/09/2017,MD,*C-MXPPLN-PLN,4.970647
11/09/2017,MD,*C-MXPPLN-V48,4.970647
11/09/2017,MD,*C-MXPPTE-PTE,0.105266
11/09/2017,MD,*C-MXPPTE-V48,0.105266
11/09/2017,MD,*C-MXPPYG-V48,0.003123
11/09/2017,MD,*C-MXPQAR-QAR,4.755907
11/09/2017,MD,*C-MXPQAR-V48,4.755907
11/09/2017,MD,*C-MXPRON-V48,4.590862
11/09/2017,MD,*C-MXPRUB-RUB,0.308679
11/09/2017,MD,*C-MXPRUB-V48,0.308679
11/09/2017,MD,*C-MXPSAR-V48,4.704897
11/09/2017,MD,*C-MXPSEK-SEK,2.203226
11/09/2017,MD,*C-MXPSEK-V48,2.203226
11/09/2017,MD,*C-MXPSGD-SGD,13.106257
11/09/2017,MD,*C-MXPSGD-V48,13.106257
11/09/2017,MD,*C-MXPSVC-SVC,2.021808
11/09/2017,MD,*C-MXPSVC-V48,2.021808
11/09/2017,MD,*C-MXPTHB-THB,0.532735
11/09/2017,MD,*C-MXPTHB-V48,0.532735
11/09/2017,MD,*C-MXPTND-V48,7.196731
11/09/2017,MD,*C-MXPTRY-V48,5.178382
11/09/2017,MD,*C-MXPTTD-V48,2.600523
11/09/2017,MD,*C-MXPTWD-TWD,0.58767
11/09/2017,MD,*C-MXPTWD-V48,0.58767
11/09/2017,MD,*C-MXPUAH-V48,0.677718
11/09/2017,MD,*C-MXPUDI-1D,5.80559
11/09/2017,MD,*C-MXPUDI-UDI,5.80559
11/09/2017,MD,*C-MXPUDI-V24,5.806042
11/09/2017,MD,*C-MXPUDI-V48,5.806494
11/09/2017,MD,*C-MXPUDI-V72,5.806947
11/09/2017,MD,*C-MXPUDI-V96,5.807399
11/09/2017,MD,*C-MXPUSD-ASK,17.6525
11/09/2017,MD,*C-MXPUSD-BID,17.6465
11/09/2017,MD,*C-MXPUSD-FIX,17.6443
11/09/2017,MD,*C-MXPUSD-SPOT,17.6495
11/09/2017,MD,*C-MXPUSD-V24,17.7331
11/09/2017,MD,*C-MXPUSD-V48,17.6443
11/09/2017,MD,*C-MXPUSD-VMD,17.6965
11/09/2017,MD,*C-MXPUVR-V48,1.519078
11/09/2017,MD,*C-MXPUYU-V48,0.613184
11/09/2017,MD,*C-MXPVEB-V48,0.001764
11/09/2017,MD,*C-MXPVEB-VEB,0.001764
11/09/2017,MD,*C-MXPVEF-V48,1.766645
11/09/2017,MD,*C-MXPVND-V48,0.000776
11/09/2017,MD,*C-MXPVND-VND,0.000776
11/09/2017,MD,*C-MXPXCD-V48,6.523045
11/09/2017,MD,*C-MXPZAR-V48,1.361108
11/09/2017,MD,*C-MXPZAR-ZAR,1.361108
11/09/2017,MD,*C-MYRUSD-V48,4.1975
11/09/2017,MD,*C-NGNUSD-V48,305.75
11/09/2017,MD,*C-NICUSD-V48,29.97
11/09/2017,MD,*C-NIOUSD-V48,30.345
11/09/2017,MD,*C-NLGUSD-V48,1.842482
11/09/2017,MD,*C-NOKUSD-V48,7.8482
11/09/2017,MD,*C-NZDAUD-V48,1.107769
11/09/2017,MD,*C-NZDGBP-V48,1.817787
11/09/2017,MD,*C-NZDUSD-V48,1.379881
11/09/2017,MD,*C-OROENY-V48,1329.295
11/09/2017,MD,*C-ORO-V48,23541.02506
11/09/2017,MD,*C-PENUSD-V48,3.2302
11/09/2017,MD,*C-PHPUSD-V48,50.945
11/09/2017,MD,*C-PKRUSD-V48,105.4
11/09/2017,MD,*C-PLAAMON-V48,344.53
11/09/2017,MD,*C-PLAENY-V48,15.9163
11/09/2017,MD,*C-PLATA-V48,314.48671
11/09/2017,MD,*C-PLNUSD-V48,3.5497
11/09/2017,MD,*C-PTEUSD-V48,167.620083
11/09/2017,MD,*C-PYGUSD-V48,5642.93
11/09/2017,MD,*C-QARUSD-V48,3.71
11/09/2017,MD,*C-RONUSD-V48,3.84335
11/09/2017,MD,*C-RUBUSD-V48,57.1618
11/09/2017,MD,*C-SARUSD-V48,3.7502
11/09/2017,MD,*C-SEKUSD-V48,8.0084
11/09/2017,MD,*C-SGDUSD-V48,1.34625
11/09/2017,MD,*C-SVCUSD-V48,8.727
11/09/2017,MD,*C-THBUSD-V48,33.12
11/09/2017,MD,*C-TNDUSD-V48,2.4518
11/09/2017,MD,*C-TRYUSD-V48,3.4073
11/09/2017,MD,*C-TTDUSD-V48,6.785
11/09/2017,MD,*C-TWDUSD-V48,30.024
11/09/2017,MD,*C-UAHUSD-V48,26.035
11/09/2017,MD,*C-UDIMXP-V48,0.172221
11/09/2017,MD,*C-UDIUSD-1D,3.048183
11/09/2017,MD,*C-UDIUSD-V24,3.054249
11/09/2017,MD,*C-UDIUSD-V48,3.038718
11/09/2017,MD,*C-USDAED-V48,0.272257
11/09/2017,MD,*C-USDARS-V48,0.058394
11/09/2017,MD,*C-USDATS-V48,0.086921
11/09/2017,MD,*C-USDAUD-V48,0.8028
11/09/2017,MD,*C-USDAWG-V48,0.557108
11/09/2017,MD,*C-USDBBD-V48,0.499478
11/09/2017,MD,*C-USDBDT-V48,0.012184
11/09/2017,MD,*C-USDBEF-V48,0.02965
11/09/2017,MD,*C-USDBGN-V48,0.611565
11/09/2017,MD,*C-USDBMD-V48,1
11/09/2017,MD,*C-USDBOB-V48,0.143592
11/09/2017,MD,*C-USDBRL-V48,0.322815
11/09/2017,MD,*C-USDBSD-V48,1
11/09/2017,MD,*C-USDBZD-V48,0.496143
11/09/2017,MD,*C-USDCAD-V48,0.825764
11/09/2017,MD,*C-USDCHF-V48,1.04745
11/09/2017,MD,*C-USDCLP-V48,0.001606
11/09/2017,MD,*C-USDCNH-V48,0.152945
11/09/2017,MD,*C-USDCNY-V48,0.153147
11/09/2017,MD,*C-USDCOP-V48,0.000342
11/09/2017,MD,*C-USDCRC-V48,0.001727
11/09/2017,MD,*C-USDCZK-V48,0.045841
11/09/2017,MD,*C-USDDEM-V48,0.61154
11/09/2017,MD,*C-USDDKK-V48,0.160771
